City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Vardo,NO,2021-01-27 16:28:31,70.3705,31.1107,24.8,74,75,25.32
150,Ust-Tsilma,RU,2021-01-27 16:25:02,65.441,52.1498,0.3,93,100,6.49
151,East London,ZA,2021-01-27 16:25:13,-33.0153,27.9116,66.2,94,90,13.8
152,Rodrigues Alves,BR,2021-01-27 16:28:32,-7.738,-72.6509,86.0,74,75,5.75
153,Praya,CV,2021-01-27 16:26:24,14.9215,-23.5087,84.2,37,0,18.41
154,Narsaq,GL,2021-01-27 16:25:21,60.9167,-46.05,35.6,32,75,32.21
155,Yumen,CN,2021-01-27 16:28:32,40.2833,97.2,21.58,75,14,4.47
156,Sao Filipe,CV,2021-01-27 16:24:05,14.8961,-24.4956,76.77,61,0,8.68
157,Georgetown,MY,2021-01-27 16:26:51,5.4112,100.3354,78.01,88,40,4.03
158,Saint-Augustin,CA,2021-01-27 16:26:17,51.226,-58.6502,19.38,92,22,10.4
159,Faanui,PF,2021-01-27 16:28:33,-16.4833,-151.75,80.42,74,28,15.84
160,Johor Bahru,MY,2021-01-27 16:25:53,1.4655,103.7578,78.8,78,75,5.75
161,Faya,SA,2021-01-27 16:28:33,18.3851,42.4509,62.6,72,0,9.22
162,Karratha,AU,2021-01-27 16:28:33,-20.7377,116.8463,84.54,59,0,16.84
163,Liwonde,MW,2021-01-27 16:28:33,-15.0506,35.2035,77.77,80,43,0.51
164,Emba,KZ,2021-01-27 16:26:22,48.8264,58.1442,15.89,94,16,12.66
165,Lebu,CL,2021-01-27 16:28:33,-37.6167,-73.65,60.26,66,98,8.75
166,Arraial Do Cabo,BR,2021-01-27 16:28:34,-22.9661,-42.0278,93.2,51,20,14.97
167,Bambous Virieux,MU,2021-01-27 16:25:17,-20.3428,57.7575,80.6,74,20,5.75
168,Newton,US,2021-01-27 16:26:47,42.337,-71.2092,35.01,80,90,5.75
169,Vao,NC,2021-01-27 16:24:27,-22.6667,167.4833,77.74,83,100,22.97
170,Chokurdakh,RU,2021-01-27 16:25:29,70.6333,147.9167,-20.58,86,100,13.2
171,Ugoofaaru,MV,2021-01-27 16:28:34,5.6667,73.0,81.01,68,99,15.08
172,Oksfjord,NO,2021-01-27 16:26:11,70.2396,22.3479,26.6,63,40,25.32
173,Tuatapere,NZ,2021-01-27 16:25:35,-46.1333,167.6833,53.01,76,90,23.0
174,Bubaque,GW,2021-01-27 16:23:44,11.2833,-15.8333,79.14,58,0,11.07
175,Vrede,ZA,2021-01-27 16:28:35,-27.4257,29.1659,69.73,84,50,5.08
176,Nouakchott,MR,2021-01-27 16:28:35,18.0858,-15.9785,89.6,4,0,18.41
177,Guilin,CN,2021-01-27 16:28:36,25.2819,110.2864,50.0,76,90,4.47
178,Pacific Grove,US,2021-01-27 16:25:50,36.6177,-121.9166,53.6,76,75,9.84
179,Davila,PH,2021-01-27 16:28:36,18.4726,120.5763,75.2,83,40,4.61
180,Thompson,CA,2021-01-27 16:25:42,55.7435,-97.8558,-20.2,83,90,4.61
181,Saint Anthony,US,2021-01-27 16:28:36,45.0205,-93.218,10.4,61,90,5.75
182,Lewiston,US,2021-01-27 16:28:36,44.1003,-70.2148,30.99,93,90,9.22
183,Rawah,IQ,2021-01-27 16:28:37,34.4816,41.9093,56.59,36,100,14.36
184,Kavieng,PG,2021-01-27 16:28:13,-2.5744,150.7967,83.32,73,71,10.22
185,Saint-Georges,GD,2021-01-27 16:28:37,12.0564,-61.7485,86.0,62,20,20.71
186,Salalah,OM,2021-01-27 16:24:25,17.0151,54.0924,75.2,69,0,6.91
187,Malinyi,TZ,2021-01-27 16:28:37,-8.9333,36.1333,78.78,82,6,3.13
188,Cap Malheureux,MU,2021-01-27 16:28:38,-19.9842,57.6142,79.0,76,11,5.73
189,Cabo San Lucas,MX,2021-01-27 16:28:39,22.8909,-109.9124,64.99,54,100,11.01
190,Caravelas,BR,2021-01-27 16:25:55,-17.7125,-39.2481,85.57,51,100,10.22
191,Asyut,EG,2021-01-27 16:28:39,27.181,31.1837,71.6,21,0,11.5
192,Bereda,ES,2021-01-27 16:28:39,43.2686,-7.5406,61.0,90,100,7.0
193,Kavaratti,IN,2021-01-27 16:25:20,10.5669,72.642,81.19,66,11,8.14
194,Dharmadam,IN,2021-01-27 16:28:40,11.7833,75.4333,76.68,78,88,3.65
195,Umm Kaddadah,SD,2021-01-27 16:25:40,13.6017,26.6876,83.21,14,80,9.24
196,Sesheke,ZM,2021-01-27 16:28:40,-17.4759,24.2968,76.71,81,100,4.59
197,Vestmannaeyjar,IS,2021-01-27 16:28:40,63.4427,-20.2734,35.6,69,75,37.98
198,Valteron,GR,2021-01-27 16:28:40,41.1833,23.3167,41.0,49,100,5.99
199,Kenai,US,2021-01-27 16:28:40,60.5544,-151.2583,6.01,77,1,4.61
200,Khatanga,RU,2021-01-27 16:24:12,71.9667,102.5,-28.44,80,1,8.5
201,Talcahuano,CL,2021-01-27 16:24:06,-36.7167,-73.1167,68.0,52,0,18.41
202,Sambava,MG,2021-01-27 16:28:41,-14.2667,50.1667,80.38,78,12,3.74
203,Graaff-Reinet,ZA,2021-01-27 16:28:41,-32.2522,24.5308,64.0,94,100,1.01
204,Selizharovo,RU,2021-01-27 16:28:41,56.8519,33.4487,29.34,97,100,4.68
205,Provideniya,RU,2021-01-27 16:28:41,64.3833,-173.3,-0.31,88,100,22.95
206,Teknaf,BD,2021-01-27 16:28:42,20.8624,92.3058,67.08,55,0,12.68
207,Aykhal,RU,2021-01-27 16:25:58,66.0,111.5,-36.04,73,32,2.26
208,Coihaique,CL,2021-01-27 16:28:42,-45.5752,-72.0662,55.4,58,75,8.05
209,Torbay,CA,2021-01-27 16:24:03,47.6666,-52.7314,32.0,86,75,12.66
210,Chitral,PK,2021-01-27 16:28:42,35.8462,71.7858,27.46,58,76,6.98
211,Gohpur,IN,2021-01-27 16:28:42,26.8833,93.6333,59.0,94,20,2.3
212,Chicama,PE,2021-01-27 16:25:36,-7.8447,-79.1469,68.0,88,20,11.5
213,Puerto Del Rosario,ES,2021-01-27 16:28:43,28.5004,-13.8627,68.0,83,20,9.22
214,Nador,MA,2021-01-27 16:24:03,35.174,-2.9287,69.8,68,0,10.36
215,Korla,CN,2021-01-27 16:28:43,41.7597,86.1469,23.52,80,0,3.74
216,Saint-Francois,FR,2021-01-27 16:28:43,46.4154,3.9054,46.99,93,90,8.05
217,Esperance,AU,2021-01-27 16:28:43,-33.8667,121.9,62.6,88,90,6.91
218,Bako,ET,2021-01-27 16:24:38,5.7833,36.5667,73.76,32,1,2.84
219,Codrington,AU,2021-01-27 16:28:44,-38.2667,141.9667,57.04,86,2,9.86
220,Houma,US,2021-01-27 16:28:44,29.5958,-90.7195,69.01,94,90,16.11
221,Grindavik,IS,2021-01-27 16:28:44,63.8424,-22.4338,32.0,55,75,25.32
222,Petrozavodsk,RU,2021-01-27 16:28:44,61.7849,34.3469,28.4,100,84,1.77
223,Zaoyang,CN,2021-01-27 16:28:45,32.1272,112.7542,44.94,52,75,4.05
224,Musiri,IN,2021-01-27 16:28:45,10.9333,78.45,75.2,73,20,5.75
