City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Aklavik,CA,68.2191,-135.0107,-31.0,68,40,3.44,scattered clouds
180,Saint George,US,37.1041,-113.5841,46.99,53,90,9.22,overcast clouds
181,Yazman,PK,29.1212,71.7446,58.37,30,0,6.8,clear sky
182,Broome,US,42.2506,-75.833,15.01,67,90,12.66,overcast clouds
183,Nemuro,JP,43.3236,145.575,28.6,98,100,25.59,snow
184,Zanjan,IR,36.6736,48.4787,36.54,79,38,5.35,scattered clouds
185,Weihe,CN,32.9952,105.3247,34.84,84,99,5.55,overcast clouds
186,Geraldton,AU,-28.7667,114.6,73.4,38,0,11.5,clear sky
187,Padang,ID,-0.9492,100.3543,73.4,94,75,3.44,light rain
188,Katsuura,JP,35.1333,140.3,37.4,35,20,13.8,few clouds
189,Wilmington,US,34.2257,-77.9447,39.99,41,1,10.36,clear sky
190,Pokaran,IN,26.9167,71.9167,59.52,26,0,6.44,clear sky
191,Puerto Colombia,CO,10.9878,-74.9547,84.2,58,0,24.16,clear sky
192,Bardiyah,LY,31.7561,25.0865,57.9,56,8,13.82,clear sky
193,Huarmey,PE,-10.0681,-78.1522,76.71,62,48,10.56,scattered clouds
194,Yulara,AU,-25.2406,130.9889,80.6,65,75,17.27,broken clouds
195,New Norfolk,AU,-42.7826,147.0587,62.01,83,72,1.83,broken clouds
196,Huaraz,PE,-9.5333,-77.5333,62.87,45,33,5.14,light rain
197,Huanren,CN,41.2647,125.3667,6.76,91,100,5.79,snow
198,Flinders,AU,-34.5833,150.8552,70.0,98,100,8.99,overcast clouds
199,Vostok,RU,46.4856,135.8833,-14.55,90,100,2.8,overcast clouds
200,Tambopata,PE,-12.7333,-69.1833,80.6,83,75,4.61,broken clouds
201,Nikolskoye,RU,59.7035,30.7861,32.0,93,90,6.71,light snow
202,Tumbagaan,PH,5.3656,120.3139,80.38,82,76,11.83,broken clouds
203,Dubove,UA,48.1721,23.8895,32.0,100,90,4.61,snow
204,Paraiba Do Sul,BR,-22.1619,-43.2928,84.0,55,66,7.36,broken clouds
205,Maceio,BR,-9.6658,-35.7353,75.2,94,75,4.61,broken clouds
206,Wangqing,CN,43.3218,129.7634,-4.95,83,41,1.72,snow
207,Zeya,RU,53.75,127.2667,-25.37,82,90,2.15,overcast clouds
208,Coihaique,CL,-45.5752,-72.0662,59.0,41,40,8.05,scattered clouds
209,Gornopravdinsk,RU,60.05,69.9,-19.88,85,93,6.2,overcast clouds
210,Port Hawkesbury,CA,45.6169,-61.3485,28.0,68,90,8.05,overcast clouds
211,Ukiah,US,39.1502,-123.2078,41.0,87,90,1.59,overcast clouds
212,Yining,CN,29.0361,114.5636,46.49,62,92,0.89,overcast clouds
213,Alekseyevsk,RU,57.8406,108.3492,-38.65,78,11,2.53,few clouds
214,Loandjili,CG,-4.7561,11.8578,79.77,84,100,11.88,light rain
215,Camacha,PT,33.0833,-16.3333,62.6,77,75,8.05,broken clouds
216,Kholodnyy,RU,62.7167,147.95,-21.12,84,100,2.93,overcast clouds
217,Torbay,CA,47.6666,-52.7314,28.0,74,90,12.66,overcast clouds
218,Nioro,GM,13.35,-15.75,100.29,7,98,5.97,overcast clouds
219,Xining,CN,36.6167,101.7667,16.57,74,100,3.15,overcast clouds
220,Chuy,UY,-33.6971,-53.4616,79.66,59,51,9.57,broken clouds
221,Andujar,ES,38.0392,-4.0508,64.0,81,0,3.0,clear sky
222,Mayachnyy,RU,52.6839,55.685,22.14,98,100,18.03,snow
