City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Ogbomosho,NG,8.133,4.25,87.8,18,0,11.5,clear sky
200,Porto Walter,BR,-8.2686,-72.7439,82.89,84,10,4.32,clear sky
201,Nuoro,IT,40.3211,9.3297,66.2,19,0,24.16,clear sky
202,San Francisco,US,37.7749,-122.4194,53.6,71,20,5.75,few clouds
203,Mar Del Plata,AR,-38.0023,-57.5575,80.6,39,75,12.66,broken clouds
204,Ostrovnoy,RU,68.0531,39.5131,7.11,93,100,18.14,overcast clouds
205,Ahipara,NZ,-35.1667,173.1667,64.36,63,0,7.31,clear sky
206,Tabou,CI,4.423,-7.3528,78.03,85,66,6.06,broken clouds
207,Ammon,US,43.4696,-111.9666,41.0,75,90,12.66,light rain
208,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,90.91,46,100,13.11,overcast clouds
209,Loiza,PR,18.4313,-65.8802,80.6,61,40,6.91,scattered clouds
210,Gaogou,CN,34.0175,119.1886,34.9,84,26,7.76,scattered clouds
211,Karaj,IR,35.8355,51.0103,46.4,61,90,18.41,overcast clouds
212,Luderitz,NA,-26.6481,15.1594,72.23,41,0,27.31,clear sky
213,Rawson,AR,-43.3002,-65.1023,61.0,52,28,19.15,scattered clouds
214,Westerland,DE,54.9079,8.3033,30.2,86,90,18.41,light snow
215,Havre-Saint-Pierre,CA,50.2334,-63.5986,19.4,53,1,6.91,clear sky
216,Ust-Kuyga,RU,70.0167,135.6,-41.84,78,100,0.47,overcast clouds
217,Darhan,MN,49.4867,105.9228,1.94,88,95,2.91,overcast clouds
218,Katsuura,JP,35.1333,140.3,36.0,48,0,19.57,clear sky
219,Bilma,NE,18.6853,12.9164,64.9,25,38,6.4,scattered clouds
220,Coihaique,CL,-45.5752,-72.0662,60.8,41,20,9.22,few clouds
221,Arvika,SE,59.6553,12.5852,8.6,100,13,2.98,few clouds
222,College,US,64.8569,-147.8028,1.99,71,75,2.77,broken clouds
223,Wanaka,NZ,-44.7,169.15,44.01,77,0,1.72,clear sky
224,Tasiilaq,GL,65.6145,-37.6368,17.6,86,75,21.85,broken clouds
225,Pangkalanbuun,ID,-2.6833,111.6167,73.99,96,100,3.76,overcast clouds
226,Richards Bay,ZA,-28.783,32.0377,72.46,87,90,1.68,overcast clouds
227,Killybegs,IE,54.6333,-8.45,44.01,75,75,10.36,broken clouds
228,Saint-Philippe,RE,-21.3585,55.7679,78.8,69,0,5.75,clear sky
229,Marquelia,MX,16.5833,-98.8167,86.81,41,74,8.9,broken clouds
230,Hamilton,US,39.1834,-84.5333,34.0,55,90,1.72,overcast clouds
231,Mana,GF,5.6592,-53.7767,78.3,87,100,11.07,overcast clouds
232,Grants,US,35.1473,-107.8514,48.2,29,1,17.27,clear sky
