City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
329,Djibo,BF,76.89,clear sky,14.1022,-1.6306,Centre Des Ressources DPENA
330,Dwarka,IN,66.52,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
332,Abomey,BJ,81.3,overcast clouds,7.1829,1.9912,Residence Hotel Marie Emmanuella
333,Kinkala,CG,84.2,light rain,-4.3614,14.7644,Hotel la Pepeche Kinkala
334,Muisne,EC,84.2,light rain,0.6,-80.0333,Quinta Samay
335,Vallenar,CL,84.69,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
339,Hambantota,LK,76.26,overcast clouds,6.1241,81.1185,Bungalow 63
340,Rock Sound,BS,67.37,overcast clouds,24.9,-76.2,Rock Sound Club
343,Gigmoto,PH,74.89,overcast clouds,13.7796,124.39,Cj's Travellers Inn
344,Cairns,AU,77.0,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
345,Tiruppuvanam,IN,77.0,mist,9.8333,78.2667,Kali amam kovil
346,San Andres,CO,86.0,few clouds,12.5847,-81.7006,Hotel Arena Blanca
353,Nelson Bay,AU,72.0,light rain,-32.7167,152.15,Mantra Nelson Bay
357,Faanui,PF,80.96,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
358,Corrente,BR,78.78,overcast clouds,-3.7367,-43.3394,Chapadinhense Hotel
361,San Cristobal,VE,86.0,scattered clouds,7.7669,-72.225,Pirineos
362,Hervey Bay,AU,73.0,clear sky,-25.2986,152.8535,Shelly Bay Resort
364,Arlit,NE,65.97,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
368,Viana,BR,86.0,few clouds,-20.3903,-40.4961,Sítio Gava
374,Varkkallai,IN,78.8,mist,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
377,San Policarpo,PH,77.99,overcast clouds,12.1791,125.5072,JM Lodge
378,Los Algarrobos,PA,66.99,overcast clouds,8.5,-82.4333,Waterfall Hostel
381,Anloga,GH,82.4,light rain,5.7947,0.8973,Pin Drop Hotel
384,Vaitape,PF,80.98,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
387,Areka,ET,67.48,scattered clouds,7.0667,37.7,Selam Hotel ሰላም ሆቴል
388,Farafangana,MG,78.28,light rain,-22.8167,47.8333,Miarina
389,Areia Branca,BR,89.6,scattered clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
391,Itaueira,BR,85.41,overcast clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
392,Cabo Rojo,PR,82.0,few clouds,18.0866,-67.1457,Hotel Perichi's
393,Omboue,GA,78.48,light rain,-1.5746,9.2618,Hotel Olako
394,Kinshasa,CD,84.2,light rain,-4.3246,15.3215,Star Hotel II
395,Flinders,AU,71.01,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
398,Itarema,BR,82.78,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
399,Trenggalek,ID,74.05,light rain,-8.05,111.7167,OYO 2966 Hotel Atriaz
401,Port Blair,IN,79.02,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
403,Nouadhibou,MR,73.4,clear sky,20.930999999999997,-17.0347,El Medina
404,Berberati,CF,75.63,clear sky,4.2612,15.7922,Prince Virgile ASSOMO-MOMORI
405,Biltine,TD,70.84,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
409,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
410,Nabire,ID,74.43,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
412,Praia,CV,75.2,clear sky,14.9215,-23.5087,LT Aparthotel
413,Bull Savanna,JM,78.46,scattered clouds,17.8868,-77.5902,Big Red's
414,Coquimbo,CL,66.2,clear sky,-29.9533,-71.3436,Hotel San Juan
415,Puerto Escondido,MX,86.0,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
416,Quatre Cocos,MU,81.0,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
420,Media Luna,CU,78.64,clear sky,20.1419,-77.435,Casa particular Pedro y Tamara
422,Dagana,MR,89.6,clear sky,16.5165,-15.5068,Quartier Dille koumba fatim thiam
424,Atar,MR,73.63,clear sky,20.5169,-13.0499,Oumou Elghoura
425,Belmonte,BR,84.2,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
426,Dingle,PH,73.54,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
429,Mwinilunga,ZM,65.77,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
431,Pombas,CV,73.4,few clouds,17.1503,-25.0201,POUSADA O RECANTO
432,Moroni,KM,80.56,moderate rain,-11.7022,43.2551,Hotel les Arcades
434,Alyangula,AU,78.8,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
